ID;Name;Bezirk;Strasse;PLZ;Stadt;Startdatum;Enddatum;Eintritt;URL;Google-Adresse
1;Weihnachtsmarkt an der Gedächtniskirche;Charlottenburg-Wilmersdorf;Breitscheidplatz 1;10789;Berlin;26.11.2012;01.01.2013;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/971524-1323017-weihnachtsmarktanderged%C3%A4chtniskirche.html;Breitscheidplatz 1, 10789 Berlin, Deutschland
2;Weihnachtsmarkt Schloss Charlottenburg;Charlottenburg-Wilmersdorf;Spandauer Damm 10;14059;Berlin;26.11.2012;26.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/971607-1323017-weihnachtsmarktschlosscharlottenburg.html;Spandauer Damm 10, 14059 Berlin, Deutschland
3;Weihnachtsmarkt vor dem Bröhan-Museum;Charlottenburg-Wilmersdorf;Schlossstr. 1A;14059;Berlin;;;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/1308500-1323017-weihnachtsmarktvordembr%C3%B6hanmuseum.html;Schlossstr. 1A, 14059 Berlin, Deutschland
4;Weihnachtsmarkt im St.-Michaels-Heim Grunewald;Charlottenburg-Wilmersdorf;Bismarckallee 23;14193;Berlin;30.11.2012;02.12.2013;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/1320584-1323017-weihnachtsmarktimstmichaelsheimgrunewald.html;Bismarckallee 23, 14193 Berlin, Deutschland
5;Weihnachtsmarkt rund um die Grunewaldkirche;Charlottenburg-Wilmersdorf;Grunewaldkirche, Bismarckallee 28B;14193;Berlin;02.12.2012;02.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/1013152-1323017-weihnachtsmarktrundumdiegrunewaldkirche.html;Grunewaldkirche, Bismarckallee 28B, 14193 Berlin, Deutschland
6;Weihnachtsmarkt in Berlin-Halensee;Charlottenburg-Wilmersdorf;Henriettenplatz;10711;Berlin;01.12.2012;23.12.2012;1,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/1015564-1323017-kunsthandwerklicherweihnachtsmarktinberl.html;Henriettenplatz, 10711 Berlin, Deutschland
7;Schwedischer Weihnachtsbasar;Charlottenburg-Wilmersdorf;Die Schwedische Viktoriagemeinde, Landhausstraße 26-28;10717;Berlin;01.12.2012;02.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/1307870-1323017-schwedischerweihnachtsbasar.html;Die Schwedische Viktoriagemeinde, Landhausstraße 26-28, 10717 Berlin, Deutschland
8;Dänischer Weihnachtsmarkt;Charlottenburg-Wilmersdorf;Brienner Straße 12;10713;Berlin;01.12.2012;02.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/1307884-1323017-d%C3%A4nischerweihnachtsmarkt.html;Brienner Straße 12, 10713 Berlin, Deutschland
9;Weihnachtsmarkt in der Wilmersdorfer Straáe;Charlottenburg-Wilmersdorf;Wilmersdorfer Straße;10627;Berlin;28.11.2012;29.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/1318187-1323017-weihnachtsmarktinwilmersdorferstra%C3%9Fe.html;Wilmersdorfer Straße, 10627 Berlin, Deutschland
10;Nikolausmarkt im Rundhof des Rathaus Wilmersdorf;Charlottenburg-Wilmersdorf;Fehrbelliner Platz 4;10702;Berlin;06.12.2012;06.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/1320725-1323017-nikolausmarktimrundhofdesrathauswilmersd.html;Fehrbelliner Platz 4, 10702 Berlin, Deutschland
11;Weihnachtsmarkt am Klausener Platz;Charlottenburg-Wilmersdorf;Klausener Platz 1;14059;Berlin;08.12.2012;08.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/1321588-1323017-weihnachtsmarktamklausenerplatz.html;Klausener Platz 1, 14059 Berlin, Deutschland
12;Design Weihnachtsmarkt im Ku'damm 101;Charlottenburg-Wilmersdorf;Hotel Ku' Damm 101, Kurfürstendamm 101;10711;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/1322794-1323017-designweihnachtsmarktimkudamm101.html;Hotel Ku' Damm 101, Kurfürstendamm 101, 10711 Berlin, Deutschland
13;Weihnachten in Westend;Charlottenburg-Wilmersdorf;Preuáenallee;14052;Berlin;22.12.2012;23.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/2772887-1323017-weihnachten-in-westend.html;Preuáenallee, 14052 Berlin, Deutschland
14;30. Weihnachtsmarkt in der Lindenkirche;Charlottenburg-Wilmersdorf;Homburger Str. 49;14197;Berlin;08.12.2012;08.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/2805550-1323017-30-weihnachtsmarkt-in-der-lindenkirche.html;Homburger Str. 49, 14197 Berlin, Deutschland
15;Adventsmarkt im Ökowerk;Charlottenburg-Wilmersdorf;Naturschutzzentrum Ökowerk, Teufelsseechaussee 22;14193;Berlin;;;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/2183410-1323017-adventsmarkt-im-oekowerk.html;Naturschutzzentrum Ökowerk, Teufelsseechaussee 22, 14193 Berlin, Deutschland
16;Vorweihnachtlicher Berliner Naschmarkt am 2. Advent;Friedrichshain-Kreuzberg;Markthalle IX, Eisenbahnstr. 42;10997;Berlin;09.12.2012;09.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/friedrichshain-kreuzberg/2846305-1328115-internationale-weihnachten-im-berliner-h.html;Markthalle IX, Eisenbahnstr. 42, 10997 Berlin, Deutschland
17;1. Kultur-Winter Markt;Friedrichshain-Kreuzberg;Prinzenstraße 35-38;10969;Berlin;29.11.2012;23.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/friedrichshain-kreuzberg/971617-1328115-berlinlachtkulturweihnachtsmarkt.html;Prinzenstraße 35-38, 10969 Berlin, Deutschland
18;KiezWeihnacht 2012;Friedrichshain-Kreuzberg;Samariterstraße 14;10247;Berlin;15.12.2012;16.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/friedrichshain-kreuzberg/1292692-1328115-kiezweihnacht.html;Samariterstraße 14, 10247 Berlin, Deutschland
